2.1:
1- select  all records from the employee table 

select * from "Employee"

EmployeeId|LastName|FirstName|Title              |ReportsTo|BirthDate              |HireDate               |Address                    |City      |State|Country|PostalCode|Phone            |Fax              |Email                   |
|----------|--------|---------|-------------------|---------|-----------------------|-----------------------|---------------------------|----------|-----|-------|----------|-----------------|-----------------|------------------------|
|1         |Adams   |Andrew   |General Manager    |         |1962-02-18 00:00:00.000|2002-08-14 00:00:00.000|11120 Jasper Ave NW        |Edmonton  |AB   |Canada |T5K 2N1   |+1 (780) 428-9482|+1 (780) 428-3457|andrew@chinookcorp.com  |
|2         |Edwards |Nancy    |Sales Manager      |1        |1958-12-08 00:00:00.000|2002-05-01 00:00:00.000|825 8 Ave SW               |Calgary   |AB   |Canada |T2P 2T3   |+1 (403) 262-3443|+1 (403) 262-3322|nancy@chinookcorp.com   |
|3         |Peacock |Jane     |Sales Support Agent|2        |1973-08-29 00:00:00.000|2002-04-01 00:00:00.000|1111 6 Ave SW              |Calgary   |AB   |Canada |T2P 5M5   |+1 (403) 262-3443|+1 (403) 262-6712|jane@chinookcorp.com    |
|4         |Park    |Margaret |Sales Support Agent|2        |1947-09-19 00:00:00.000|2003-05-03 00:00:00.000|683 10 Street SW           |Calgary   |AB   |Canada |T2P 5G3   |+1 (403) 263-4423|+1 (403) 263-4289|margaret@chinookcorp.com|
|5         |Johnson |Steve    |Sales Support Agent|2        |1965-03-03 00:00:00.000|2003-10-17 00:00:00.000|7727B 41 Ave               |Calgary   |AB   |Canada |T3B 1Y7   |1 (780) 836-9987 |1 (780) 836-9543 |steve@chinookcorp.com   |
|6         |Mitchell|Michael  |IT Manager         |1        |1973-07-01 00:00:00.000|2003-10-17 00:00:00.000|5827 Bowness Road NW       |Calgary   |AB   |Canada |T3B 0C5   |+1 (403) 246-9887|+1 (403) 246-9899|michael@chinookcorp.com |
|7         |King    |Robert   |IT Staff           |6        |1970-05-29 00:00:00.000|2004-01-02 00:00:00.000|590 Columbia Boulevard West|Lethbridge|AB   |Canada |T1K 5N8   |+1 (403) 456-9986|+1 (403) 456-8485|robert@chinookcorp.com  |
|8         |Callahan|Laura    |IT Staff           |6        |1968-01-09 00:00:00.000|2004-03-04 00:00:00.000|923 7 ST NW                |Lethbridge|AB   |Canada |T1H 1Y8   |+1 (403) 467-3351|+1 (403) 467-8772|laura@chinookcorp.com   |

2- select "LastName","FirstName", "Title","ReportsTo","BirthDate" from "Employee"
where "LastName" like 'King'

|LastName|FirstName|Title   |ReportsTo|BirthDate              |
|--------|---------|--------|---------|-----------------------|
|King    |Robert   |IT Staff|6        |1970-05-29 00:00:00.000|


3-a: select all records from the Employee Table where last name is King

 select "LastName","FirstName", "Title","ReportsTo","BirthDate" from "Employee"
where "FirstName" = 'Andrew'

|LastName|FirstName|Title          |ReportsTo|BirthDate              |
|--------|---------|---------------|---------|-----------------------|
|Adams   |Andrew   |General Manager|         |1962-02-18 00:00:00.000|


3-b:select all records from the Employee Table where last name is King
  and REPORTSTO is null

select "LastName","FirstName", "Title","ReportsTo","BirthDate" from "Employee"
where "FirstName"  = 'Andrew' and "ReportsTo" is null 

|LastName|FirstName|Title          |ReportsTo|BirthDate              |
|--------|---------|---------------|---------|-----------------------|
|Adams   |Andrew   |General Manager|         |1962-02-18 00:00:00.000|


2.2:

1- select all albums in Album table and sort result set descending order by title

   select "AlbumId","Title","ArtistId" from "Album"  
order by "Title" desc  


|AlbumId|Title                                                                                          |ArtistId|
|-------|-----------------------------------------------------------------------------------------------|--------|
|240    |Zooropa                                                                                        |150     |
|267    |Worlds                                                                                         |202     |
|334    |Weill: The Seven Deadly Sins                                                                   |264     |
|8      |Warner 25 Anos                                                                                 |6       |
|239    |War                                                                                            |150     |
|175    |Walking Into Clarksdale                                                                        |115     |
|287    |Wagner: Favourite Overtures                                                                    |221     |
|182    |Vs.                                                                                            |118     |
|53     |Vozes do MPB                                                                                   |21      |
|218    |Voodoo Lounge                                                                                  |142     |
|225    |Volume Dois                                                                                    |146     |
|275    |Vivaldi: The Four Seasons                                                                      |209     |
|114    |Virtual XI                                                                                     |90      |
|52     |Vin cius De Moraes - Sem Limite                                                                |70      |
|247    |Vinicius De Moraes                                                                             |72      |
|67     |Vault: Def Leppard's Greatest Hits                                                             |78      |
|245    |Van Halen III                                                                                  |152     |
|244    |Van Halen                                                                                      |152     |
|92     |Use Your Illusion II                                                                           |88      |
|91     |Use Your Illusion I                                                                            |88      |
|51     |Up An' Atom                                                                                    |69      |
|126    |Unplugged [Live]                                                                               |52      |
|73     |Unplugged                                                                                      |81      |
|252    |Un-Led-Ed                                                                                      |157     |
|241    |UB40 The Best Of - Volume Two [UK]                                                             |151     |
|174    |Tribute                                                                                        |114     |
|220    |Transmission                                                                                   |143     |
|113    |The X Factor                                                                                   |90      |
|280    |The World of Classical Favourites                                                              |214     |
|332    |The Ultimate Relexation Album                                                                  |262     |
|138    |The Song Remains The Same (Disc 2)                                                             |22      |
|137    |The Song Remains The Same (Disc 1)                                                             |22      |
|211    |The Singles                                                                                    |138     |
|118    |The Return Of The Space Cowboy                                                                 |92      |
|77     |The Real Thing                                                                                 |82      |
|215    |The Police Greatest Hits                                                                       |141     |
|251    |The Office, Season 3                                                                           |156     |
|250    |The Office, Season 2                                                                           |156     |
|249    |The Office, Season 1                                                                           |156     |
|112    |The Number of The Beast                                                                        |90      |
|290    |The Last Night of the Proms                                                                    |224     |
|50     |The Final Concerts (Disc 2)                                                                    |58      |
|49     |The Essential Miles Davis [Disc 2]                                                             |68      |
|48     |The Essential Miles Davis [Disc 1]                                                             |68      |
|214    |The Doors                                                                                      |140     |
|72     |The Cream Of Clapton                                                                           |81      |
|82     |The Colour And The Shape                                                                       |84      |
|243    |The Best Of Van Halen, Vol. I                                                                  |152     |
|190    |The Best Of R.E.M.: The IRS Years                                                              |124     |
|147    |The Best Of Men At Work                                                                        |105     |
|47     |The Best of Ed Motta                                                                           |37      |
|20     |The Best Of Buddy Guy - The Millenium Collection                                               |15      |
|13     |The Best Of Billy Cobham                                                                       |10      |
|268    |The Best of Beethoven                                                                          |203     |
|238    |The Best Of 1980-1990                                                                          |150     |
|177    |The Beast Live                                                                                 |117     |
|66     |The Battle Rages On                                                                            |58      |
|181    |Ten                                                                                            |118     |
|269    |Temple of the Dog                                                                              |204     |
|289    |Tchaikovsky: The Nutcracker                                                                    |223     |
|308    |Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory|243     |
|219    |Tangents                                                                                       |143     |
|337    |Szymanowski: Piano Works, Vol. 1                                                               |266     |
|117    |Synkronized                                                                                    |92      |
|121    |Surfing with the Alien (Remastered)                                                            |95      |
|46     |Supernatural                                                                                   |59      |
|311    |Strauss: Waltzes                                                                               |226     |
|65     |Stormbringer                                                                                   |58      |
|155    |St. Anger                                                                                      |50      |
|256    |Speak of the Devil                                                                             |114     |
